Time;Time Code;Country Name;Country Code;Population density (people per sq. km of land area) [EN.POP.DNST];Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS];Prevalence of HIV, female (% ages 15-24) [SH.HIV.1524.FE.ZS];School enrollment, primary, private (% of total primary) [SE.PRM.PRIV.ZS];People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS];Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS];Unemployment with basic education, female (% of female labor force with basic education) [SL.UEM.BASC.FE.ZS];Urban population (% of total population) [SP.URB.TOTL.IN.ZS];Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita) [EN.GHG.CO2.PC.CE.AR5];Forest area (% of land area) [AG.LND.FRST.ZS];Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS];Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN];GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD];Access to electricity (% of population) [EG.ELC.ACCS.ZS]
2023;YR2023;Argentina;ARG;..;..;..;..;..;53.163;8.522;92.463;..;..;..;..;28710;..
2023;YR2023;Australia;AUS;..;..;..;..;..;62.81;7.609;86.617;..;..;..;..;66260;..
2023;YR2023;Brazil;BRA;..;..;..;..;..;53.098;13.961;87.788;..;..;..;..;19990;..
2023;YR2023;China;CHN;..;..;..;7.20534992218018;..;..;..;64.57;..;..;..;..;24380;..
2023;YR2023;France;FRA;..;..;..;..;..;52.82;12.886;81.777;..;..;..;..;62130;..
2023;YR2023;Germany;DEU;..;..;..;..;..;56.413;5.61;77.765;..;..;..;..;72110;..
2023;YR2023;India;IND;..;..;..;..;..;35.085;1.697;36.364;..;..;..;..;10030;..
2023;YR2023;Indonesia;IDN;..;..;..;..;..;53.386;1.627;58.572;..;..;..;..;15210;..
2023;YR2023;Italy;ITA;..;..;..;..;..;41.503;14.127;71.973;..;..;..;..;58650;..
2023;YR2023;Japan;JPN;..;..;..;..;..;54.8;..;92.043;..;..;..;..;52640;..
2023;YR2023;Korea, Rep.;KOR;..;..;..;..;..;56.074;2.454;81.456;..;..;..;..;55040;..
2023;YR2023;Mexico;MEX;..;..;..;..;..;46.244;2.477;81.582;..;..;..;..;24970;..
2023;YR2023;Netherlands;NLD;..;..;..;..;..;64.081;6.491;93.179;..;..;..;..;77750;..
2023;YR2023;Russian Federation;RUS;..;..;..;1.28203999996185;..;56.207;9.079;75.331;..;..;..;..;43510;..
2023;YR2023;Saudi Arabia;SAU;..;..;..;..;..;34.611;4.033;84.95;..;..;..;..;55290;..
2023;YR2023;Spain;ESP;..;..;..;..;..;53.351;21.871;81.552;..;..;..;..;52420;..
2023;YR2023;Switzerland;CHE;..;..;..;..;..;62.566;8.032;74.202;..;..;..;..;90080;..
2023;YR2023;Turkiye;TUR;..;..;..;..;..;35.802;9.276;77.463;..;..;..;..;43700;..
2023;YR2023;United Kingdom;GBR;..;..;..;..;..;58.108;5.387;84.642;..;..;..;..;58140;..
2023;YR2023;United States;USA;..;..;..;..;..;57.332;6.838;83.298;..;..;..;..;82190;..
2023;YR2023;Afghanistan;AFG;..;..;..;..;..;..;..;26.933;..;..;..;..;..;..
2023;YR2023;Albania;ALB;..;..;..;11.4961700439453;..;..;..;64.603;..;..;..;..;21110;..
2023;YR2023;Algeria;DZA;..;..;..;1.19593000411987;..;..;..;75.268;..;..;..;..;16790;..
2023;YR2023;Angola;AGO;..;..;..;..;..;..;..;68.688;..;..;..;..;7310;..
2023;YR2023;Armenia;ARM;..;..;..;3.19157004356384;..;..;..;63.739;..;..;..;..;22440;..
2023;YR2023;Azerbaijan;AZE;..;..;..;1.32709002494812;..;..;..;57.577;..;..;..;..;22640;..
2023;YR2023;Bangladesh;BGD;..;..;..;..;..;..;..;40.473;..;..;..;..;9430;..
2023;YR2023;Belarus;BLR;..;..;..;0.0099600004032254;..;65.252;11.158;80.731;..;..;..;..;29640;..
2023;YR2023;Belize;BLZ;..;..;..;81.1187896728516;..;..;..;46.608;..;..;..;..;13710;..
2023;YR2023;Benin;BEN;..;..;..;..;..;..;..;50.1;..;..;..;..;4220;..
2023;YR2023;Bhutan;BTN;..;..;..;..;..;56.83;3.752;44.35;..;..;..;..;..;..
2023;YR2023;Bolivia;BOL;..;..;..;9.83178043365479;..;72.587;2.049;71.186;..;..;..;..;10490;..
2023;YR2023;Bosnia and Herzegovina;BIH;..;..;..;2.18700003623962;..;42.173;12.369;50.269;..;..;..;..;22790;..
2023;YR2023;Botswana;BWA;..;..;..;..;..;63.067;30.697;72.867;..;..;..;..;19140;..
2023;YR2023;Burkina Faso;BFA;..;..;..;29.6848201751709;..;41.796;9.017;32.52;..;..;..;..;2610;..
2023;YR2023;Burundi;BDI;..;..;..;..;..;..;..;14.784;..;..;..;..;950;..
2023;YR2023;Cabo Verde;CPV;..;..;..;..;..;..;..;67.982;..;..;..;..;9050;..
2023;YR2023;Cambodia;KHM;..;..;..;..;..;..;..;25.57;..;..;..;..;5460;..
2023;YR2023;Cameroon;CMR;..;..;..;26.8576202392578;..;..;..;59.315;..;..;..;..;5270;..
2023;YR2023;Central African Republic;CAF;..;..;..;..;..;..;..;43.614;..;..;..;..;1200;..
2023;YR2023;Chad;TCD;..;..;..;20.3282909393311;..;..;..;24.366;..;..;..;..;1940;..
2023;YR2023;Colombia;COL;..;..;..;..;..;52.023;11.481;82.354;..;..;..;..;21420;..
2023;YR2023;Comoros;COM;..;..;..;..;..;..;..;30.132;..;..;..;..;3860;..
